コード,銘柄名,市場,現在値,前日比(%)
144A,エネルギーパワー,東PRO,"--","-- (--%) "
1450,ＴＡＮＡＫＥＮ,東S,"1,330","+28.0 (+2.15%) "
1452,横浜ライト工業,東PRO,"--","-- (--%) "
1456,ｉＦ日経平均インバース,東ETF,"1,213","-10.0 (-0.82%) "
1457,ｉＦＴＯＰＩＸインバース,東ETF,"1,809","-12.0 (-0.66%) "
1458,楽天ＥＴＦ日経レバレッジ指数,東ETF,"94,850","+1,560.0 (+1.67%) "
1459,楽天ＥＴＦ日経ダブルインバース,東ETF,"106","-1.0 (-0.93%) "
145A,Ｌ　ｉｓ　Ｂ,東G,"776","-4.0 (-0.51%) "
1466,ｉＦＪＰＸ４００ダブルインバ,東ETF,"207","-3.0 (-1.43%) "
1469,ＪＰＸ日経４００ベア２倍,東ETF,"194.3","-5.4 (-2.70%) "
146A,コロンビア・ワークス,東S,"2,841","+50.0 (+1.79%) "
1472,ＮＦ　ＪＰＸ４００ダブルインバ,東ETF,"81","-1.0 (-1.22%) "
1473,ＤＩＡＭ　ＥＴＦ　トピックス,東ETF,"4,129","+29.0 (+0.71%) "
1474,ＤＩＡＭ　ＪＰＸ日経４００,東ETF,"37,170","+380.0 (+1.03%) "
1475,ｉＳコア　ＴＯＰＩＸ,東ETF,"415.6","+2.7 (+0.65%) "
1476,ｉＳコア　Ｊリート,東ETF,"1,830","-9.0 (-0.49%) "
1477,ｉシェアーズＭＳＣＩ最小分散,東ETF,"3,236","+17.0 (+0.53%) "
1478,ｉシェアーズＭＳＣＩ高配当,東ETF,"5,003","+22.0 (+0.44%) "
1479,ｉＦＭＳＣＩ日本株人材設備,東ETF,"54,110","+490.0 (+0.91%) "
147A,ソラコム,東G,"989","+8.0 (+0.82%) "
1480,ＮＦ野村企業価値分配指数連動型,東ETF,"--","-- (--%) "
1481,上場日本経済貢献株,東ETF,"3,531","+8.0 (+0.23%) "
1482,ｉＳ米国債７―１０年円ヘッジ,東ETF,"1,577","+4.0 (+0.25%) "
1483,ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材,東ETF,"3,507","+19.0 (+0.54%) "
1484,Ｏｎｅ設備人材投資,東ETF,"3,505","+34.0 (+0.98%) "
1485,ＭＸＳ積極投資企業２００上場,東ETF,"52,580","-1,000.0 (-1.87%) "
1486,上場米国債券（為替ヘッジなし）,東ETF,"24,765","+65.0 (+0.26%) "
1487,上場米国債券（為替ヘッジあり）,東ETF,"12,215","+25.0 (+0.21%) "
1488,ＩＦ上場投信―東証ＲＥＩＴ,東ETF,"1,824","-9.0 (-0.49%) "
1489,ＮＦ日経平均高配当株５０指数,東ETF,"3,253","+2.0 (+0.06%) "
148A,ハッチ・ワーク,東G,"1,678","-2.0 (-0.12%) "
1490,上場ＭＳＣＩベータヘッジ,東ETF,"--","-- (--%) "
1491,中外鉱業,東S,"700","+11.0 (+1.60%) "
1493,Ｏｎｅ　ＪＰＸ日経中小型,東ETF,"25,650","+370.0 (+1.46%) "
1494,Ｏｎｅ高配当日本株,東ETF,"42,970","+90.0 (+0.21%) "
1495,上場アジアリート,東ETF,"11,650","+65.0 (+0.56%) "
1496,ｉＳ米ドルＩＧ社債ヘッジ,東ETF,"1,691","+3.0 (+0.18%) "
1497,ｉＳ米ドルＨＹ社債ヘッジ,東ETF,"1,763","-1.0 (-0.06%) "
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,東ETF,"32,960","+300.0 (+0.92%) "
1499,ＭＸＳ日本株高配当７０ＭＮ,東ETF,"8,784","-69.0 (-0.78%) "
149A,シンカ,東G,"717","+13.0 (+1.85%) "
150A,ＪＳＨ,東G,"352","+3.0 (+0.86%) "
1514,住石ＨＬＤＧ,東S,"550","+5.0 (+0.92%) "
1515,日鉄鉱業,東P,"2,593","+69.0 (+2.73%) "
1518,三井松島ＨＬＤＧ,東P,"1,469","-7.0 (-0.47%) "
151A,ダイブ,東G,"583","-1.0 (-0.17%) "
152A,オプティ,東PRO,"--","-- (--%) "
153A,カウリス,東G,"1,198","-4.0 (-0.33%) "
1540,純金上場信託,東ETF,"20,755","+65.0 (+0.31%) "
1541,純プラチナ上場信託,東ETF,"8,308","+155.0 (+1.90%) "
1542,純銀上場信託,東ETF,"32,950","+550.0 (+1.70%) "
1543,純パラジウム上場信託,東ETF,"60,910","+340.0 (+0.56%) "
1545,ＮＦ　ＮＡＳＤＡＱ―１００ヘな,東ETF,"244.6","-2.4 (-0.97%) "
1546,ＮＦダウ・ジョーンズ工業株３０,東ETF,"81,690","+590.0 (+0.73%) "
1547,上場米国株式Ｓ＆Ｐ５００,東ETF,"13,110","-40.0 (-0.30%) "
154A,ＧＡＩＡ,東PRO,"--","-- (--%) "
1550,ＭＸＳ外株（ＭＳＣＩコクサイ）,東ETF,"8,060","+17.0 (+0.21%) "
1551,東証スタンダードＴＯＰ２０,東ETF,"7,051","+11.0 (+0.16%) "
1553,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信,名ETF,"--","-- (--%) "
1554,上場ＭＳＣＩ世界株式除く日本,東ETF,"6,814","+5.0 (+0.07%) "
1555,上場豪州リート,東ETF,"2,616","+21.0 (+0.81%) "
1557,ＳＳ　Ｓ＆Ｐ　５００　ＥＴＦ,東ETF,"120,450","-500.0 (-0.41%) "
1559,ＮＦタイ株式ＳＥＴ５０指数,東ETF,"4,725","-65.0 (-1.36%) "
155A,情報戦略テクノロジー,東G,"866","+46.0 (+5.61%) "
1560,ＮＦ　ＦＴＳＥブルサＫＬＣＩ,東ETF,"6,714","+54.0 (+0.81%) "
1563,東証グロース・コアＥＴＦ,東ETF,"2,249","+19.0 (+0.85%) "
1566,上場新興国債券,東ETF,"54,370","+220.0 (+0.41%) "
1568,ＴＯＰＩＸブル２倍上場投信,東ETF,"972.5","+12.1 (+1.26%) "
1569,ＴＯＰＩＸベア上場投信,東ETF,"756","-4.0 (-0.53%) "
156A,マテリアルグループ,東G,"869","+48.0 (+5.85%) "
1570,ＮＦ日経レバ連動型上場投信,東ETF,"79,550","+1,370.0 (+1.75%) "
1571,ＮＦ日経インバ連動型上場投信,東ETF,"286","-2.0 (-0.69%) "
1572,中国Ｈ株ブル２倍上場投信,東ETF,"6,602","-170.0 (-2.51%) "
1573,中国Ｈ株ベア上場投信,東ETF,"8,725","+51.0 (+0.59%) "
1577,ＮＦ野村日本株高配当７０連動型,東ETF,"55,120","+240.0 (+0.44%) "
1578,上場日経２２５（ミニ）,東ETF,"5,618","+52.0 (+0.93%) "
1579,日経平均ブル２倍上場投信,東ETF,"859.9","+14.1 (+1.67%) "
157A,グリーンモンスター,東G,"875","+62.0 (+7.63%) "
1580,日経平均ベア上場投信,東ETF,"756.5","-7.5 (-0.98%) "
1585,ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ,東ETF,"2,663","-14.5 (-0.54%) "
1586,上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ,東ETF,"3,100","+28.0 (+0.91%) "
158A,エクセリ,東PRO,"--","-- (--%) "
1591,ＮＦ　ＪＰＸ日経４００連動型,東ETF,"36,490","+290.0 (+0.80%) "
1592,上場ＪＰＸ日経４００,東ETF,"3,378","+27.0 (+0.81%) "
1593,ＭＡＸＩＳ　ＪＰＸ日経４００,東ETF,"37,760","+290.0 (+0.77%) "
1595,ＮＺＡＭ東証ＲＥＩＴ指数,東ETF,"1,816","-2.0 (-0.11%) "
1596,ＮＺＡＭ　ＴＯＰＩＸ　Ｅｘ−Ｆ,東ETF,"--","-- (--%) "
1597,ＭＡＸＩＳ　Ｊリート上場投信,東ETF,"1,820","-5.0 (-0.27%) "
1599,ｉＦ　ＪＰＸ日経４００,東ETF,"37,350","0.0 (0.00%) "
159A,ＮＦ　ＪＰＸプライム１５０,東ETF,"720.3","+4.2 (+0.59%) "
1605,ＩＮＰＥＸ,東P,"3,406","+28.0 (+0.83%) "
160A,アズパートナーズ,東S,"1,976","+42.0 (+2.17%) "
1615,ＮＦ銀行業指数投信,東ETF,"711.7","+4.9 (+0.69%) "
1617,ＮＦ食品ＴＰＸ１７,東ETF,"45,590","+180.0 (+0.40%) "
1618,ＮＦエネルギー資源ＴＰＸ１７,東ETF,"32,410","+150.0 (+0.46%) "
1619,ＮＦ建設・資材ＴＰＸ１７,東ETF,"50,300","+680.0 (+1.37%) "
161A,三葉,東PRO,"--","-- (--%) "
1620,ＮＦ素材・化学ＴＰＸ１７,東ETF,"39,420","+590.0 (+1.52%) "
1621,ＮＦ医薬品ＴＰＸ１７,東ETF,"28,775","+175.0 (+0.61%) "
1622,ＮＦ自動車・輸送機ＴＰＸ１７,東ETF,"33,010","-190.0 (-0.57%) "
1623,ＮＦ鉄鋼・非鉄ＴＰＸ１７,東ETF,"70,500","-350.0 (-0.49%) "
1624,ＮＦ機械ＴＰＸ１７,東ETF,"91,640","+1,710.0 (+1.90%) "
1625,ＮＦ電機・精密ＴＰＸ１７,東ETF,"69,380","+1,010.0 (+1.48%) "
1626,ＮＦ情報通信サービスＴＰＸ１７,東ETF,"43,310","-30.0 (-0.07%) "
1627,ＮＦ電力・ガスＴＰＸ１７,東ETF,"11,395","-5.0 (-0.04%) "
1628,ＮＦ運輸・物流ＴＰＸ１７,東ETF,"20,345","-240.0 (-1.17%) "
1629,ＮＦ商社・卸売ＴＰＸ１７,東ETF,"253.3","+0.5 (+0.20%) "
162A,ＡＩセレクトメガトレンドＥＴＮ,東ETF,"17,840","+170.0 (+0.96%) "
1630,ＮＦ小売ＴＰＸ１７,東ETF,"37,570","+480.0 (+1.29%) "
1631,ＮＦ銀行ＴＰＸ１７,東ETF,"38,160","+270.0 (+0.71%) "
1632,ＮＦ金融（除く銀行）ＴＰＸ１７,東ETF,"41,230","-10.0 (-0.02%) "
1633,ＮＦ不動産ＴＰＸ１７,東ETF,"50,750","-500.0 (-0.98%) "
163A,半導体フォーカス日本株ＥＴＮ,東ETF,"23,000","+570.0 (+2.54%) "
164A,アップルパーク,東PRO,"--","-- (--%) "
1651,ｉＦ　ＴＯＰＩＸ高配当４０,東ETF,"3,021","+12.0 (+0.40%) "
1652,ｉＦ　ＭＳＣＩ日本株女性活躍,東ETF,"4,936","+36.0 (+0.73%) "
1653,ｉＦ　ＭＳＣＩＥＳＧセレクト,東ETF,"5,180","0.0 (0.00%) "
1654,ｉＦ　ＦＴＳＥＪＰＸブロッサム,東ETF,"--","-- (--%) "
1655,ｉＳ　Ｓ＆Ｐ５００米国株,東ETF,"871.3","-2.0 (-0.23%) "
1656,ｉＳコア米国債７―１０年,東ETF,"318.2","+0.8 (+0.25%) "
1657,ｉＳコアＭＳＣＩ先進国株,東ETF,"7,260","+6.0 (+0.08%) "
1658,ｉＳコアＭＳＣＩ新興国株,東ETF,"4,582","+51.0 (+1.13%) "
1659,ｉＳ米国リート,東ETF,"3,944","-1.0 (-0.03%) "
1660,ＭＸＳ高利回りＪリート,東ETF,"10,470","0.0 (0.00%) "
1662,石油資源開発,東P,"1,645","-3.0 (-0.18%) "
1663,Ｋ＆Ｏエナジーグループ,東P,"3,870","+15.0 (+0.39%) "
166A,タスキＨＬＤＧ,東P,"1,120","+8.0 (+0.72%) "
1671,ＷＴＩ原油価格連動型上場投信,東ETF,"4,605","-228.0 (-4.72%) "
1672,ＷＴ　金,東ETF,"64,180","+140.0 (+0.22%) "
1673,ＷＴ　銀,東ETF,"10,235","+105.0 (+1.04%) "
1674,ＷＴ　白金,東ETF,"26,045","+250.0 (+0.97%) "
1675,ＷＴ　パラジウム,東ETF,"19,585","+35.0 (+0.18%) "
1676,ＷＴ　貴金属バスケット,東ETF,"43,870","+830.0 (+1.93%) "
1677,上場インデックスファンド外債,東ETF,"60,990","+170.0 (+0.28%) "
1678,ＮＦインドＮＩＦＴＹ５０,東ETF,"320","+0.7 (+0.22%) "
1679,ＮＹダウ・インデックス上場投信,東ETF,"67,300","+560.0 (+0.84%) "
167A,リョーサン菱洋ＨＬＤＧ,東P,"2,733","+10.0 (+0.37%) "
1680,上場ＭＳＣＩ―ＫＯＫＵＳＡＩ,東ETF,"8,274","+11.0 (+0.13%) "
1681,上場ＭＳＣＩ　エマージング,東ETF,"3,540","-5.0 (-0.14%) "
1684,ＷＴ　ブロード,東ETF,"2,369.5","-118.5 (-4.76%) "
1685,ＷＴ　エネルギー,東ETF,"729.7","-20.3 (-2.71%) "
1686,ＷＴ　産業用金属,東ETF,"3,141","-59.0 (-1.84%) "
1687,ＷＴ　農産物,東ETF,"974.3","+25.9 (+2.73%) "
1688,ＷＴ　穀物,東ETF,"536.4","+11.4 (+2.17%) "
1689,ＷＴ　天然ガス,東ETF,"869","+21.0 (+2.48%) "
168A,イタミアート,東G,"1,116","-19.0 (-1.67%) "
1690,ＷＴ　ＷＴＩ　原油,東ETF,"2,131.5","-107.0 (-4.78%) "
1691,ＷＴ　ガソリン,東ETF,"12,455","-195.0 (-1.54%) "
1692,ＷＴ　アルミニウム,東ETF,"719.7","+14.6 (+2.07%) "
1693,ＷＴ　銅,東ETF,"9,037","+76.0 (+0.85%) "
1694,ＷＴ　ニッケル,東ETF,"2,450","+30.0 (+1.24%) "
1695,ＷＴ　小麦,東ETF,"3,142","+80.0 (+2.61%) "
1696,ＷＴ　とうもろこし,東ETF,"2,735","+22.0 (+0.81%) "
1697,ＷＴ　大豆,東ETF,"4,326","+98.0 (+2.32%) "
1698,上場東証配当フォーカス１００,東ETF,"4,070","+26.0 (+0.64%) "
1699,ＮＦ原油インデックス連動型上場,東ETF,"574.2","-20.7 (-3.48%) "
170A,ＳＭＴ日本好配当株アクティブ,東ETF,"3,109","+26.0 (+0.84%) "
1711,ＳＤＳＨＬＤＧ,東S,"226","+6.0 (+2.73%) "
1716,第一カッター興業,東S,"1,377","-3.0 (-0.22%) "
1717,明豊ファシリティワークス,東S,"896","+1.0 (+0.11%) "
1718,美樹工業,東S,"6,890","+100.0 (+1.47%) "
1719,安藤・間,東P,"1,787","+19.0 (+1.07%) "
171A,ゼロジャパン,東PRO,"--","-- (--%) "
1720,東急建設,東P,"1,177","-14.0 (-1.18%) "
1721,コムシスＨＬＤＧ,東P,"5,411","+61.0 (+1.14%) "
1723,日本電技,東S,"2,328","+40.0 (+1.75%) "
1724,シンクレイヤ,東S,"702","+9.0 (+1.30%) "
172A,ネオホーム,東PRO,"--","-- (--%) "
1736,オーテック,東S,"2,332","-17.0 (-0.72%) "
1738,ＮＩＴＴＯＨ,名M,"--","-- (--%) "
173A,ハンモック,東G,"1,384","+60.0 (+4.53%) "
1758,太洋基礎工業,東S,"2,482","-48.0 (-1.90%) "
175A,Ｗｉｌｌ　Ｓｍａｒｔ,東G,"605","+6.0 (+1.00%) "
1762,高松コンストラクショングループ,東P,"3,460","-15.0 (-0.43%) "
1764,工藤建設,東S,"2,929","+4.0 (+0.14%) "
1766,東建コーポレーション,東P,"12,570","+420.0 (+3.46%) "
1768,ソネック,東S,"1,020","+23.0 (+2.31%) "
1770,藤田エンジニアリング,東S,"1,845","+14.0 (+0.76%) "
1773,ワイ・ティー・エル,東P,"81","+2.0 (+2.53%) "
1777,川崎設備工業,名M,"2,240","+10.0 (+0.45%) "
177A,コージンバイオ,東G,"998","-4.0 (-0.40%) "
1780,ヤマウラ,東P,"1,384","-3.0 (-0.22%) "
1783,ｆａｎｔａｓｉｓｔａ,東S,"53","0.0 (0.00%) "
1786,オリエンタル白石,東P,"334","+2.0 (+0.60%) "
1787,ナカボーテック,東S,"5,370","+30.0 (+0.56%) "
1788,三東工業社,東S,"4,515","+10.0 (+0.22%) "
178A,ＧＸ　革新的優良企業,東ETF,"1,638","-14.0 (-0.85%) "
1793,大本組,東S,"1,946","+79.0 (+4.23%) "
1795,マサル,東S,"4,805","0.0 (0.00%) "
1798,守谷商会,東S,"1,040","+14.0 (+1.36%) "
1799,第一建設工業,東S,"3,370","+95.0 (+2.90%) "
179A,ＧＸ　超長期米国債　有,東ETF,"253.4","+1.4 (+0.56%) "
1801,大成建設,東P,"14,710","0.0 (0.00%) "
1802,大林組,東P,"3,197","+19.0 (+0.60%) "
1803,清水建設,東P,"2,563.5","-70.0 (-2.66%) "
1807,佐藤渡辺,東S,"1,800","0.0 (0.00%) "
1808,長谷工コーポレーション,東P,"2,706.5","+16.5 (+0.61%) "
180A,ＧＸ　 超長期米国債,東ETF,"297.9","+2.0 (+0.68%) "
1810,松井建設,東S,"1,354","+15.0 (+1.12%) "
1811,錢高組,東S,"--","-- (--%) "
1812,鹿島建設,東P,"5,920","+21.0 (+0.36%) "
1813,不動テトラ,東P,"2,710","+15.0 (+0.56%) "
1814,大末建設,東P,"3,265","0.0 (0.00%) "
1815,鉄建建設,東P,"4,495","+30.0 (+0.67%) "
181A,ＭＸＳ米国国債１−３ヘッジなし,東ETF,"537.5","-0.1 (-0.02%) "
1820,西松建設,東P,"5,416","+23.0 (+0.43%) "
1822,大豊建設,東S,"737","0.0 (0.00%) "
1826,佐田建設,東S,"1,013","+9.0 (+0.90%) "
1827,ナカノフドー建設,東S,"1,233","-17.0 (-1.36%) "
1828,田辺工業,東S,"2,301","+1.0 (+0.04%) "
182A,ＭＸＳ米国国債２０年超ヘッジ無,東ETF,"514.6","+2.7 (+0.53%) "
1833,奥村組,東P,"5,700","-20.0 (-0.35%) "
1835,東鉄工業,東P,"4,225","-5.0 (-0.12%) "
183A,ＭＸＳ米国国債２０年超ヘッジ有,東ETF,"--","-- (--%) "
1840,土屋ＨＬＤＧ,東S,"233","+1.0 (+0.43%) "
1844,大盛工業,東S,"473","+19.0 (+4.19%) "
1847,イチケン,東S,"2,654","+37.0 (+1.41%) "
1848,富士ピー・エス,東S,"599","-2.0 (-0.33%) "
184A,学びエイド,東G,"306","+5.0 (+1.66%) "
1850,南海辰村建設,東S,"404","+3.0 (+0.75%) "
1852,淺沼組,東P,"828","+4.0 (+0.49%) "
1853,森組,東S,"319","+4.0 (+1.27%) "
185A,リサイクルテック・ジャパン,東PRO,"--","-- (--%) "
1860,戸田建設,東P,"1,605.5","+23.5 (+1.49%) "
1861,熊谷組,東P,"1,421","+11.0 (+0.78%) "
1866,北野建設,東S,"1,008","+2.0 (+0.20%) "
1867,植木組,東S,"2,446","-14.0 (-0.57%) "
1869,名工建設,名M,"1,756","+26.0 (+1.50%) "
186A,アストロスケールＨＬＤＧ,東G,"1,348","-27.0 (-1.96%) "
1870,矢作建設工業,東P,"1,854","+23.0 (+1.26%) "
1871,ピーエス・コンストラクション,東P,"2,279","-41.0 (-1.77%) "
1873,日本ハウスＨＬＤＧ,東P,"303","0.0 (0.00%) "
1878,大東建託,東P,"3,002","-31.0 (-1.02%) "
1879,新日本建設,東P,"2,225","-16.0 (-0.71%) "
1882,東亜道路工業,東P,"1,518","-7.0 (-0.46%) "
1885,東亜建設工業,東P,"2,273","+3.0 (+0.13%) "
1887,日本国土開発,東P,"537","+3.0 (+0.56%) "
1888,若築建設,東P,"3,310","+10.0 (+0.30%) "
188A,ＧＸ　インド・トップ１０＋,東ETF,"882","-2.0 (-0.23%) "
1892,徳倉建設,名M,"--","-- (--%) "
1893,五洋建設,東P,"1,797.5","+14.0 (+0.78%) "
1897,金下建設,東S,"3,080","-35.0 (-1.12%) "
1898,世紀東急工業,東P,"1,433","+6.0 (+0.42%) "
1899,福田組,東P,"7,530","-50.0 (-0.66%) "
189A,Ｄ＆Ｍカンパニー,東G,"965","-9.0 (-0.92%) "
1904,大成温調,東S,"4,935","+70.0 (+1.44%) "
1905,テノックス,東S,"1,577","+31.0 (+2.01%) "
1909,日本ドライケミカル,東S,"3,830","+50.0 (+1.32%) "
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ,東G,"68","-3.0 (-4.23%) "
1911,住友林業,東P,"1,352.5","-3.0 (-0.22%) "
1914,日本基礎技術,東S,"665","+7.0 (+1.06%) "
191A,ミモザ,東PRO,"--","-- (--%) "
1921,巴コーポレーション,東S,"1,690","+9.0 (+0.54%) "
1925,大和ハウス工業,東P,"4,358","+12.0 (+0.28%) "
1926,ライト工業,東P,"4,010","+10.0 (+0.25%) "
1928,積水ハウス,東P,"3,276","-20.0 (-0.61%) "
1929,日特建設,東P,"1,113","-2.0 (-0.18%) "
192A,インテグループ,東G,"1,217","-20.0 (-1.62%) "
1930,北陸電気工事,東P,"1,699","+48.0 (+2.91%) "
1934,ユアテック,東P,"2,379","+33.0 (+1.41%) "
1938,日本リーテック,東P,"2,767","+9.0 (+0.33%) "
1939,四電工,東P,"1,965","+25.0 (+1.29%) "
1941,中電工,東P,"5,350","+50.0 (+0.94%) "
1942,関電工,東P,"6,467","+230.0 (+3.69%) "
1944,きんでん,東P,"7,737","+442.0 (+6.06%) "
1945,東京エネシス,東P,"2,386","+13.0 (+0.55%) "
1946,トーエネック,東P,"2,229","+47.0 (+2.15%) "
1948,弘電社,東S,"11,480","0.0 (0.00%) "
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,東G,"1,219","+9.0 (+0.74%) "
1950,日本電設工業,東P,"4,420","-55.0 (-1.23%) "
1951,エクシオグループ,東P,"2,825.5","+56.0 (+2.02%) "
1952,新日本空調,東P,"3,515","+55.0 (+1.59%) "
1959,クラフティア,東P,"9,297","+98.0 (+1.07%) "
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,東G,"690","-10.0 (-1.43%) "
1960,サンテック,東S,"1,395","+17.0 (+1.23%) "
1961,三機工業,東P,"2,700","+110.0 (+4.25%) "
